,PATTERN,COND-T,COND-S,#LEMMA,#FORM,MATCH,SUB,COND-T-PASS,COND-S-PASS,Test,Color,Comments,STATUS
165,1a>aY,,#->ay,ra>aY,ra,(.).,$1u,,#-}iy,ru,0,,DONE
166,1a>i3,,,ka}ib,ka}ib,(.).(.).(.),$1u$2i$3,,,ku}ib,1,,DONE
167,1a>o3a>,,#-a>,ha>oha>,ha>oh,(.).(.).(.),$1u&o$3i},,,hu&ohi},0,,DONE
168,1a>o3a4,,#n,Ta>oman,Ta>oman,(.).(.).(.).(.),$1u&o$3i$4,,#n,Tu&omin,1,,DONE
169,1a>u3,,,la&um,la&um,(.).(.).(.),$1u}i$3,,,lu}im,0,,DONE
170,1aA2~,c-suff,gem,xaAl~,xaAlal,(.)aA(.).(.),$1uw$2i$3,c-suff,gem,xuwlil,1,,DONE
171,1aA2~,v-suff,gem,xaAl~,xaAl~,(.)aA(.)~,$1uw$2~,v-suff,gem,xuwl~,1,,DONE
172,1a2~,c-suff,gem,zar~,zarar,(.).(.).(.),$1u$2i$3,c-suff,gem,zurir,0,,DONE
173,1a2~,v-suff,gem,zar~,zar~,(.).(.)~,$1u$2~,v-suff,gem,zur~,0,,DONE
174,1a2~,c-suff,#n gem,zar~,zarar,(.).(.).(.),$1u$2i$3,c-suff,#n gem,zurir,0,,DONE
175,1a2~,v-suff,#n gem,zar~,zar~,(.).(.)~,$1u$2~,v-suff,#n gem,zur~,0,,DONE
176,1a2~,c-suff,#t gem,zar~,zarar,(.).(.).(.),$1u$2i$3,c-suff,#t gem,zurir,0,,DONE
177,1a2~,v-suff,#t gem,zar~,zar~,(.).(.)~,$1u$2~,v-suff,#t gem,zur~,0,,DONE
178,1a2~a>,,#-a>,har~a>,har~,(.).(.)~,$1u$2~i},,,hur~i},1,,DONE
179,1a2~a3,,#n,har~aE,har~aE,(.).(.)~.(.),$1u$2~i$3,,#n,hur~iE,0,,DONE
180,1a2~a3,,#t,har~aE,har~aE,(.).(.)~.(.),$1u$2~i$3,,#t,hur~iE,0,,DONE
181,1a2~a3,,,har~aE,har~aE,(.).(.)~.(.),$1u$2~i$3,,,hur~iE,0,,DONE
182,1a2~aY,,#-ay,mal~aY,mal~,(.).(.)~,$1u$2~,,#-iy,mul~,1,,DONE
183,1aA2a>,,#-a>,maAla>,maAl,(.)aA(.),$1uw$2i},,,muwli},0,,DONE
184,1a2a>,,#-a>,hana>,han,(.).(.),$1u$2i},,,huni},1,,DONE
185,1aA2a3,,#n,naAkaH,naAkaH,(.)aA(.).(.),$1uw$2i$3,,#n,nuwkiH,0,,DONE
186,1aA2a3,,#t,naAkaH,naAkaH,(.)aA(.).(.),$1uw$2i$3,,#t,nuwkiH,0,,DONE
187,1aA2a3,,,naAkaH,naAkaH,(.)aA(.).(.),$1uw$2i$3,,,nuwkiH,0,,DONE
188,1a2a3,,#n,hazal,hazal,(.).(.).(.),$1u$2i$3,,#n,huzil,1,,DONE
